icd6-7,icd8,icd9,icd10,icd10 code,icd10 term,concept_id,concept_name,vocabulary_id,domain_id,standard_concept,
icd7_140,icd8_140,icd9_140,icd10_C00,c00,malignant neoplasm of lip,4155171,Primary malignant neoplasm of lip,SNOMED,Condition,S,
icd7_1400,icd8_1400,icd9_1400,icd10_C000,c00.0,malignant neoplasm of external upper lip,138074,Primary malignant neoplasm of vermilion border of upper lip,SNOMED,Condition,S,
icd7_1401,icd8_1401,icd9_1401,icd10_C001,c00.1,malignant neoplasm of external lower lip,132565,Primary malignant neoplasm of vermilion border of lower lip,SNOMED,Condition,S,
,,,icd10_C002,c00.2,malignant neoplasm of external lip, unspecified,133969,Primary malignant neoplasm of vermilion border of lip,SNOMED,Condition,S,
,,icd9_1403,icd10_C003,c00.3,malignant neoplasm of upper lip, inner aspect,138351,Primary malignant neoplasm of inner aspect of upper lip,SNOMED,Condition,S,
,,icd9_1404,icd10_C004,c00.4,malignant neoplasm of lower lip, inner aspect,137219,Primary malignant neoplasm of inner aspect of lower lip,SNOMED,Condition,S,
,,icd9_1405,icd10_C005,c00.5,malignant neoplasm of lip, unspecified, inner aspect,132832,Primary malignant neoplasm of inner aspect of lip,SNOMED,Condition,S,
,,icd9_1406,icd10_C006,c00.6,malignant neoplasm of commissure of lip,255192,Primary malignant neoplasm of commissure of lip,SNOMED,Condition,S,
,,,icd10_C008,c00.8,malignant neoplasm of overlapping sites of lip,133710,Overlapping malignant neoplasm of lip,SNOMED,Condition,S,
icd7_1409,icd8_1409,icd9_1409,icd10_C009,c00.9,malignant neoplasm of lip, unspecified,4155171,Primary malignant neoplasm of lip,SNOMED,Condition,S,
icd7_1410,icd8_1410,icd9_1410,icd10_C01,c01,malignant neoplasm of base of tongue,256633,Primary malignant neoplasm of base of tongue,SNOMED,Condition,S,
icd7_141,icd8_141,icd9_141,icd10_C02,c02,malignant neoplasm of other and unspecified parts of tongue,437498,Primary malignant neoplasm of tongue,SNOMED,Condition,S,
,icd8_1411,icd9_1411,icd10_C020,c02.0,malignant neoplasm of dorsal surface of tongue,434587,Primary malignant neoplasm of dorsal surface of tongue,SNOMED,Condition,S,
,icd8_1412,icd9_1412,icd10_C021,c02.1,malignant neoplasm of border of tongue,4156114,Primary malignant neoplasm of border of tongue,SNOMED,Condition,S,
,icd8_1413,icd9_1413,icd10_C022,c02.2,malignant neoplasm of ventral surface of tongue,437220,Primary malignant neoplasm of ventral surface of tongue,SNOMED,Condition,S,
,,icd9_1414,icd10_C023,c02.3,malignant neoplasm of anterior two-thirds of tongue, part unspecified,436042,Primary malignant neoplasm of anterior two-thirds of tongue,SNOMED,Condition,S,
,,icd9_1416,icd10_C024,c02.4,malignant neoplasm of lingual tonsil,434289,Primary malignant neoplasm of lingual tonsil,SNOMED,Condition,S,
icd7_1418,,,icd10_C028,c02.8,malignant neoplasm of overlapping sites of tongue,436043,Overlapping malignant neoplasm of tongue,SNOMED,Condition,S,
icd7_1419,icd8_1419,icd9_1419,icd10_C029,c02.9,malignant neoplasm of tongue, unspecified,437498,Primary malignant neoplasm of tongue,SNOMED,Condition,S,
,icd8_143,icd9_143,icd10_C03,c03,malignant neoplasm of gum,140950,Primary malignant neoplasm of gum,SNOMED,Condition,S,
,icd8_1430,icd9_1430,icd10_C030,c03.0,malignant neoplasm of upper gum,435478,Primary malignant neoplasm of upper gum,SNOMED,Condition,S,
,icd8_1431,icd9_1431,icd10_C031,c03.1,malignant neoplasm of lower gum,440335,Primary malignant neoplasm of lower gum,SNOMED,Condition,S,
,icd8_1439,icd9_1439,icd10_C039,c03.9,malignant neoplasm of gum, unspecified,140950,Primary malignant neoplasm of gum,SNOMED,Condition,S,
icd7_143,icd8_144,icd9_144,icd10_C04,c04,malignant neoplasm of floor of mouth,135750,Primary malignant neoplasm of floor of mouth,SNOMED,Condition,S,
,,icd9_1440,icd10_C040,c04.0,malignant neoplasm of anterior floor of mouth,438982,Primary malignant neoplasm of anterior portion of floor of mouth,SNOMED,Condition,S,
,,icd9_1441,icd10_C041,c04.1,malignant neoplasm of lateral floor of mouth,440344,Primary malignant neoplasm of lateral portion of floor of mouth,SNOMED,Condition,S,
,,,icd10_C048,c04.8,malignant neoplasm of overlapping sites of floor of mouth,140955,Overlapping malignant neoplasm of floor of mouth,SNOMED,Condition,S,
,,icd9_1449,icd10_C049,c04.9,malignant neoplasm of floor of mouth, unspecified,135750,Primary malignant neoplasm of floor of mouth,SNOMED,Condition,S,
,,,icd10_C05,c05,malignant neoplasm of palate,134290,Primary malignant neoplasm of palate,SNOMED,Condition,S,
,icd8_1451,icd9_1452,icd10_C050,c05.0,malignant neoplasm of hard palate,438694,Primary malignant neoplasm of hard palate,SNOMED,Condition,S,
,,icd9_1453,icd10_C051,c05.1,malignant neoplasm of soft palate,254282,Primary malignant neoplasm of soft palate,SNOMED,Condition,S,
,,icd9_1454,icd10_C052,c05.2,malignant neoplasm of uvula,434285,Primary malignant neoplasm of uvula,SNOMED,Condition,S,
,,,icd10_C058,c05.8,malignant neoplasm of overlapping sites of palate,4001170,Overlapping malignant neoplasm of palate,SNOMED,Condition,S,
,,icd9_1455,icd10_C059,c05.9,malignant neoplasm of palate, unspecified,134290,Primary malignant neoplasm of palate,SNOMED,Condition,S,
icd7_144,icd8_145,icd9_145,icd10_C06,c06,malignant neoplasm of other and unspecified parts of mouth,439404,Primary malignant neoplasm of oral cavity,SNOMED,Condition,S,
,,icd9_1450,icd10_C060,c06.0,malignant neoplasm of cheek mucosa,134579,Primary malignant neoplasm of buccal mucosa,SNOMED,Condition,S,
,,icd9_1451,icd10_C061,c06.1,malignant neoplasm of vestibule of mouth,261808,Primary malignant neoplasm of vestibule of mouth,SNOMED,Condition,S,
,,icd9_1456,icd10_C062,c06.2,malignant neoplasm of retromolar area,433704,Primary malignant neoplasm of retromolar area,SNOMED,Condition,S,
,,,icd10_C068,c06.8,malignant neoplasm of overlapping sites of other and unspecified parts of mouth,140955,Overlapping malignant neoplasm of floor of mouth,SNOMED,Condition,S,
,icd8_1459,icd9_1459,icd10_C069,c06.9,malignant neoplasm of mouth, unspecified,439404,Primary malignant neoplasm of oral cavity,SNOMED,Condition,S,
icd7_1420,icd8_1420,icd9_1420,icd10_C07,c07,malignant neoplasm of parotid gland,434588,Primary malignant neoplasm of parotid gland,SNOMED,Condition,S,
icd7_142,icd8_142,icd9_142,icd10_C08,c08,malignant neoplasm of other and unspecified major salivary glands,4247836,Primary malignant neoplasm of major salivary gland,SNOMED,Condition,S,
icd7_1427,,icd9_1421,icd10_C080,c08.0,malignant neoplasm of submandibular gland,4247836,Primary malignant neoplasm of major salivary gland,SNOMED,Condition,S,
,,icd9_1422,icd10_C081,c08.1,malignant neoplasm of sublingual gland,439738,Primary malignant neoplasm of sublingual gland,SNOMED,Condition,S,
icd7_1428,,,icd10_C088,c08.8,overlapping lesion of major salivary glands,28356,Overlapping malignant neoplasm of major salivary gland,SNOMED,Condition,S,Manual mapping via ICD10 (not ICD10CM)
icd7_1421,,,icd10_C089,c08.9,malignant neoplasm of major salivary gland, unspecified,4247836,Primary malignant neoplasm of major salivary gland,SNOMED,Condition,S,
icd7_1429,icd8_1429,icd9_1429,icd10_C089,c08.9,malignant neoplasm of major salivary gland, unspecified,4247836,Primary malignant neoplasm of major salivary gland,SNOMED,Condition,S,
,icd8_1460,icd9_1460,icd10_C09,c09,malignant neoplasm of tonsil,31509,Primary malignant neoplasm of tonsil,SNOMED,Condition,S,
,,icd9_1461,icd10_C090,c09.0,malignant neoplasm of tonsillar fossa,433709,Primary malignant neoplasm of tonsillar fossa,SNOMED,Condition,S,
,,icd9_1462,icd10_C091,c09.1,malignant neoplasm of tonsillar pillar (anterior) (posterior),440047,Primary malignant neoplasm of tonsillar pillar,SNOMED,Condition,S,
,,,icd10_C098,c09.8,malignant neoplasm of overlapping sites of tonsil,4002498,Overlapping malignant neoplasm of tonsil,SNOMED,Condition,S,
icd7_1450,,,icd10_C099,c09.9,malignant neoplasm of tonsil, unspecified,31509,Primary malignant neoplasm of tonsil,SNOMED,Condition,S,
icd7_145,icd8_146,icd9_146,icd10_C10,c10,malignant neoplasm of oropharynx,432833,Primary malignant neoplasm of oropharynx,SNOMED,Condition,S,
,,icd9_1463,icd10_C100,c10.0,malignant neoplasm of vallecula,438360,Primary malignant neoplasm of vallecula,SNOMED,Condition,S,
,,icd9_1464,icd10_C101,c10.1,malignant neoplasm of anterior surface of epiglottis,436643,Primary malignant neoplasm of anterior aspect of epiglottis,SNOMED,Condition,S,
,,icd9_1466,icd10_C102,c10.2,malignant neoplasm of lateral wall of oropharynx,440345,Primary malignant neoplasm of lateral wall of oropharynx,SNOMED,Condition,S,
,,icd9_1467,icd10_C103,c10.3,malignant neoplasm of posterior wall of oropharynx,439739,Primary malignant neoplasm of posterior wall of oropharynx,SNOMED,Condition,S,
,,,icd10_C104,c10.4,malignant neoplasm of branchial cleft,4003674,Primary malignant neoplasm of branchial cleft,SNOMED,Condition,S,
icd7_1458,,,icd10_C108,c10.8,malignant neoplasm of overlapping sites of oropharynx,438691,Overlapping malignant neoplasm of oropharynx,SNOMED,Condition,S,
icd7_1459,icd8_1469,icd9_1469,icd10_C109,c10.9,malignant neoplasm of oropharynx, unspecified,432833,Primary malignant neoplasm of oropharynx,SNOMED,Condition,S,
icd7_146,icd8_147,icd9_147,icd10_C11,c11,malignant neoplasm of nasopharynx,36716501,Primary malignant epithelial neoplasm of nasopharynx,SNOMED,Condition,S,
,,icd9_1470,icd10_C110,c11.0,malignant neoplasm of superior wall of nasopharynx,441223,Primary malignant neoplasm of superior wall of nasopharynx,SNOMED,Condition,S,
,,icd9_1471,icd10_C111,c11.1,malignant neoplasm of posterior wall of nasopharynx,436344,Primary malignant neoplasm of posterior wall of nasopharynx,SNOMED,Condition,S,
,,icd9_1472,icd10_C112,c11.2,malignant neoplasm of lateral wall of nasopharynx,438692,Primary malignant neoplasm of lateral wall of nasopharynx,SNOMED,Condition,S,
,,icd9_1473,icd10_C113,c11.3,malignant neoplasm of anterior wall of nasopharynx,438080,Primary malignant neoplasm of anterior wall of nasopharynx,SNOMED,Condition,S,
,,,icd10_C118,c11.8,malignant neoplasm of overlapping sites of nasopharynx,432558,Overlapping malignant neoplasm of nasopharynx,SNOMED,Condition,S,
,,icd9_1479,icd10_C119,c11.9,malignant neoplasm of nasopharynx, unspecified,4095312,Malignant tumor of nasopharynx,SNOMED,Condition,S,
,icd8_1481,icd9_1481,icd10_C12,c12,malignant neoplasm of pyriform sinus,435190,Primary malignant neoplasm of pyriform sinus,SNOMED,Condition,S,
icd7_147,icd8_148,icd9_148,icd10_C13,c13,malignant neoplasm of hypopharynx,439746,Primary malignant neoplasm of hypopharynx,SNOMED,Condition,S,
,icd8_1480,icd9_1480,icd10_C130,c13.0,malignant neoplasm of postcricoid region,436922,Primary malignant neoplasm of postcricoid region,SNOMED,Condition,S,
,,icd9_1482,icd10_C131,c13.1,malignant neoplasm aryepiglottic fold, hypopharyngeal aspect,434577,Primary malignant neoplasm of hypopharyngeal aspect of aryepiglottic fold,SNOMED,Condition,S,
,,icd9_1483,icd10_C132,c13.2,malignant neoplasm of posterior wall of hypopharynx,435474,Primary malignant neoplasm of posterior hypopharyngeal wall,SNOMED,Condition,S,
,,,icd10_C138,c13.8,malignant neoplasm of overlapping sites of hypopharynx,440044,Overlapping malignant neoplasm of hypopharynx,SNOMED,Condition,S,
,icd8_1489,icd9_1489,icd10_C139,c13.9,malignant neoplasm of hypopharynx, unspecified,439746,Primary malignant neoplasm of hypopharynx,SNOMED,Condition,S,
icd7_148,icd8_149,icd9_149,icd10_C14,c14,malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx,442131,Primary malignant neoplasm of head,SNOMED,Condition,S,
,,icd9_1490,icd10_C140,c14.0,malignant neoplasm of pharynx, unspecified,28083,Primary malignant neoplasm of pharynx,SNOMED,Condition,S,
,,icd9_1491,icd10_C142,c14.2,malignant neoplasm of waldeyer's ring,432254,Primary malignant neoplasm of Waldeyer's ring,SNOMED,Condition,S,
,,icd9_1499,icd10_C148,c14.8,malignant neoplasm of overlapping sites of lip, oral cavity and pharynx,444224,Overlapping malignant neoplasm of lip, oral cavity and pharynx,SNOMED,Condition,S,
icd7_150,icd8_150,icd9_150,icd10_C15,c15,malignant neoplasm of esophagus,26638,Primary malignant neoplasm of esophagus,SNOMED,Condition,S,
,,icd9_1500,icd10_C150,c15.0,cervical part of esophagus,441224,Primary malignant neoplasm of cervical esophagus,SNOMED,Condition,S,Manual mapping via ICD10 (not ICD10CM)
,,icd9_1501,icd10_C151,c15.1,thoracic part of esophagus,135476,Primary malignant neoplasm of thoracic esophagus,SNOMED,Condition,S,Manual mapping via ICD10 (not ICD10CM)
,,icd9_1502,icd10_C152,c15.2,abdominal part of esophagus,193971,Primary malignant neoplasm of abdominal esophagus,SNOMED,Condition,S,Manual mapping via ICD10 (not ICD10CM)
,,icd9_1503,icd10_C153,c15.3,malignant neoplasm of upper third of esophagus,432260,Primary malignant neoplasm of upper third of esophagus,SNOMED,Condition,S,
,,icd9_1504,icd10_C154,c15.4,malignant neoplasm of middle third of esophagus,437805,Primary malignant neoplasm of middle third of esophagus,SNOMED,Condition,S,
,,icd9_1505,icd10_C155,c15.5,malignant neoplasm of lower third of esophagus,193138,Primary malignant neoplasm of lower third of esophagus,SNOMED,Condition,S,
,,,icd10_C158,c15.8,malignant neoplasm of overlapping sites esophagus,25748,Overlapping malignant neoplasm of esophagus,SNOMED,Condition,S,
,,icd9_1509,icd10_C159,c15.9,malignant neoplasm of esophagus, unspecified,26638,Primary malignant neoplasm of esophagus,SNOMED,Condition,S,
icd7_151,icd8_151,icd9_151,icd10_C16,c16,malignant neoplasm of stomach,196044,Primary malignant neoplasm of stomach,SNOMED,Condition,S,
,icd8_1510,icd9_1510,icd10_C160,c16.0,malignant neoplasm of cardia,432838,Primary malignant neoplasm of cardia of stomach,SNOMED,Condition,S,
,,icd9_1513,icd10_C161,c16.1,malignant neoplasm of fundus of stomach,435751,Primary malignant neoplasm of fundus of stomach,SNOMED,Condition,S,
,,icd9_1514,icd10_C162,c16.2,malignant neoplasm of body of stomach,193422,Primary malignant neoplasm of body of stomach,SNOMED,Condition,S,
,,icd9_1512,icd10_C163,c16.3,malignant neoplasm of pyloric antrum,438089,Primary malignant neoplasm of pyloric antrum,SNOMED,Condition,S,
,icd8_1511,icd9_1511,icd10_C164,c16.4,malignant neoplasm of pylorus,192255,Primary malignant neoplasm of pylorus,SNOMED,Condition,S,
,,icd9_1515,icd10_C165,c16.5,malignant neoplasm of lesser curvature of stomach, unspecified,434292,Primary malignant neoplasm of lesser curvature of stomach,SNOMED,Condition,S,
,,icd9_1516,icd10_C166,c16.6,malignant neoplasm of greater  curvature of stomach, unspecified,437224,Primary malignant neoplasm of greater curvature of stomach,SNOMED,Condition,S,
,,,icd10_C168,c16.8,malignant neoplasm of overlapping sites of stomach,197803,Overlapping malignant neoplasm of stomach,SNOMED,Condition,S,
,icd8_1519,icd9_1519,icd10_C169,c16.9,malignant neoplasm of stomach, unspecified,196044,Primary malignant neoplasm of stomach,SNOMED,Condition,S,
icd7_152,icd8_152,icd9_152,icd10_C17,c17,malignant neoplasm of small intestine,192836,Primary malignant neoplasm of small intestine,SNOMED,Condition,S,
icd7_1520,icd8_1520,icd9_1520,icd10_C170,c17.0,malignant neoplasm of duodenum,435752,Primary malignant neoplasm of duodenum,SNOMED,Condition,S,
,icd8_1521,icd9_1521,icd10_C171,c17.1,malignant neoplasm of jejunum,436913,Primary malignant neoplasm of jejunum,SNOMED,Condition,S,
icd7_1527,icd8_1522,icd9_1522,icd10_C172,c17.2,malignant neoplasm of ileum,4311480,Primary malignant neoplasm of ileum,SNOMED,Condition,S,
,,icd9_1523,icd10_C173,c17.3,meckel's diverticulum,4094863,Malignant tumor of Meckel's diverticulum,SNOMED,Condition,S,
icd7_1528,,,icd10_C178,c17.8,malignant neoplasm of overlapping sites of small intestine,199747,Overlapping malignant neoplasm of small intestine,SNOMED,Condition,S,
icd7_1529,icd8_1529,icd9_1529,icd10_C179,c17.9,malignant neoplasm of small intestine, unspecified,192836,Primary malignant neoplasm of small intestine,SNOMED,Condition,S,
icd7_153,icd8_153,icd9_153,icd10_C18,c18,malignant neoplasm of colon,197500,Primary malignant neoplasm of colon,SNOMED,Condition,S,
,,icd9_1534,icd10_C180,c18.0,malignant neoplasm of cecum,432837,Primary malignant neoplasm of cecum,SNOMED,Condition,S,
,,icd9_1535,icd10_C181,c18.1,malignant neoplasm of appendix,433143,Primary malignant neoplasm of appendix,SNOMED,Condition,S,
icd7_1530,icd8_1530,icd9_1536,icd10_C182,c18.2,malignant neoplasm of ascending colon,4247719,Primary malignant neoplasm of ascending colon,SNOMED,Condition,S,
,,icd9_1530,icd10_C183,c18.3,malignant neoplasm of hepatic flexure,438979,Primary malignant neoplasm of hepatic flexure of colon,SNOMED,Condition,S,
icd7_1531,icd8_1531,icd9_1531,icd10_C184,c18.4,malignant neoplasm of transverse colon,432257,Primary malignant neoplasm of transverse colon,SNOMED,Condition,S,
,,icd9_1537,icd10_C185,c18.5,malignant neoplasm of splenic flexure,437798,Primary malignant neoplasm of splenic flexure of colon,SNOMED,Condition,S,
icd7_1532,icd8_1532,icd9_1532,icd10_C186,c18.6,malignant neoplasm of descending colon,441800,Primary malignant neoplasm of descending colon,SNOMED,Condition,S,
icd7_1533,icd8_1533,icd9_1533,icd10_C187,c18.7,malignant neoplasm of sigmoid colon,436635,Primary malignant neoplasm of sigmoid colon,SNOMED,Condition,S,
icd7_1537,,,icd10_C188,c18.8,malignant neoplasm of overlapping sites of colon,79740,Overlapping malignant neoplasm of colon,SNOMED,Condition,S,
icd7_1538,icd8_1538,icd9_1539,icd10_C189,c18.9,malignant neoplasm of colon, unspecified,197500,Primary malignant neoplasm of colon,SNOMED,Condition,S,
,icd8_1540,icd9_1540,icd10_C19,c19,malignant neoplasm of rectosigmoid junction,438699,Primary malignant neoplasm of rectosigmoid junction,SNOMED,Condition,S,
,icd8_1541,icd9_1541,icd10_C20,c20,malignant neoplasm of rectum,74582,Primary malignant neoplasm of rectum,SNOMED,Condition,S,
,icd8_1542,,icd10_C21,c21,malignant neoplasm of anus and anal canal,40481902,Malignant neoplasm of anorectum,SNOMED,Condition,S,
,,icd9_1543,icd10_C210,c21.0,malignant neoplasm of anus, unspecified,80045,Primary malignant neoplasm of anus,SNOMED,Condition,S,
,,icd9_1542,icd10_C211,c21.1,malignant neoplasm of anal canal,436348,Primary malignant neoplasm of anal canal,SNOMED,Condition,S,
,,,icd10_C212,c21.2,malignant neoplasm of cloacogenic zone,4003675,Primary malignant neoplasm of cloacogenic zone,SNOMED,Condition,S,
,,icd9_1548,icd10_C218,c21.8,malignant neoplasm of overlapping sites of rectum, anus and anal canal,438090,Overlapping malignant neoplasm of rectum, anus and anal canal,SNOMED,Condition,S,
icd7_155,icd8_155,icd9_155,icd10_C22,c22,malignant neoplasm of liver and intrahepatic bile ducts,4095432,Malignant neoplasm of liver and intrahepatic bile ducts,SNOMED,Condition,S,
,icd8_1550,icd9_1550,icd10_C220,c22.0,liver cell carcinoma,4001171,Liver cell carcinoma,SNOMED,Condition,S,
,icd8_1551,icd9_1551,icd10_C221,c22.1,intrahepatic bile duct carcinoma,4001664,Intrahepatic bile duct carcinoma,SNOMED,Condition,S,
,,,icd10_C222,c22.2,hepatoblastoma,4001172,Hepatoblastoma,SNOMED,Condition,S,
,,,icd10_C223,c22.3,angiosarcoma of liver,4003021,Angiosarcoma of liver,SNOMED,Condition,S,
,,,icd10_C224,c22.4,other sarcomas of liver,4115271,Sarcoma of liver,SNOMED,Condition,S,
,,,icd10_C227,c22.7,other specified carcinomas of liver,4001171,Liver cell carcinoma,SNOMED,Condition,S,
icd7_156,icd8_1978,icd9_1552,icd10_C229,c22.9,malignant neoplasm of liver, unspecified,4246127,Malignant neoplasm of liver,SNOMED,Condition,S,
icd7_1551,icd8_1560,icd9_1560,icd10_C23,c23,malignant neoplasm of gallbladder,197806,Primary malignant neoplasm of gallbladder,SNOMED,Condition,S,
,icd8_156,icd9_156,icd10_C24,c24,malignant neoplasm of other and unspecified parts of biliary tract,194589,Primary malignant neoplasm of biliary tract,SNOMED,Condition,S,
,icd8_1561,icd9_1561,icd10_C240,c24.0,malignant neoplasm of extrahepatic bile duct,40486896,Primary malignant neoplasm of extrahepatic bile duct,SNOMED,Condition,S,
,icd8_1562,icd9_1562,icd10_C241,c24.1,malignant neoplasm of ampulla of vater,441225,Primary malignant neoplasm of ampulla of Vater,SNOMED,Condition,S,
,,,icd10_C248,c24.8,malignant neoplasm of overlapping lesion of biliary tract,198695,Overlapping malignant neoplasm of biliary tract,SNOMED,Condition,S,
,icd8_1569,icd9_1569,icd10_C249,c24.9,malignant neoplasm of biliary tract, unspecified,194589,Primary malignant neoplasm of biliary tract,SNOMED,Condition,S,
icd7_157,icd8_157,icd9_157,icd10_C25,c25,malignant neoplasm of pancreas,199754,Primary malignant neoplasm of pancreas,SNOMED,Condition,S,
,icd8_1570,icd9_1570,icd10_C250,c25.0,malignant neoplasm of head of pancreas,440649,Primary malignant neoplasm of head of pancreas,SNOMED,Condition,S,
,,icd9_1571,icd10_C251,c25.1,malignant neoplasm of body of pancreas,434293,Primary malignant neoplasm of body of pancreas,SNOMED,Condition,S,
,,icd9_1572,icd10_C252,c25.2,malignant neoplasm of tail of pancreas,432843,Primary malignant neoplasm of tail of pancreas,SNOMED,Condition,S,
,,icd9_1573,icd10_C253,c25.3,malignant neoplasm of pancreatic duct,433423,Primary malignant neoplasm of pancreatic duct,SNOMED,Condition,S,
,,icd9_1574,icd10_C254,c25.4,malignant neoplasm of endocrine pancreas,25486,Primary malignant neoplasm of islets of Langerhans,SNOMED,Condition,S,
,,,icd10_C257,c25.7,malignant neoplasm of other parts of pancreas,199754,Primary malignant neoplasm of pancreas,SNOMED,Condition,S,
,,,icd10_C258,c25.8,malignant neoplasm of overlapping sites of pancreas,192261,Overlapping malignant neoplasm of pancreas,SNOMED,Condition,S,
,icd8_1579,icd9_1579,icd10_C259,c25.9,malignant neoplasm of pancreas, unspecified,199754,Primary malignant neoplasm of pancreas,SNOMED,Condition,S,
icd7_159,icd8_159,icd9_159,icd10_C26,c26,malignant neoplasm of other and ill-defined digestive organs,4114221,Malignant tumor of unknown origin,SNOMED,Condition,S,
icd7_1539,icd8_1539,icd9_1590,icd10_C260,c26.0,malignant neoplasm of intestinal tract, part unspecified,195482,Primary malignant neoplasm of intestinal tract,SNOMED,Condition,S,
,,icd9_1591,icd10_C261,c26.1,malignant neoplasm of spleen,193418,Primary malignant neoplasm of spleen,SNOMED,Condition,S,
,,,icd10_C268,c26.8,overlapping lesion of digestive system,40491001,Malignant neoplasm of digestive system,SNOMED,Condition,S,Manual mapping via ICD10 (not ICD10CM)
,,icd9_1599,icd10_C269,c26.9,malignant neoplasm of ill-defined sites within the digestive system,4179720,Primary malignant neoplasm of gastrointestinal tract,SNOMED,Condition,S,
icd7_160,icd8_160,icd9_160,icd10_C30,c30,malignant neoplasm of nasal cavity and middle ear,442131,Primary malignant neoplasm of head,SNOMED,Condition,S,
icd7_1600,icd8_1600,icd9_1600,icd10_C300,c30.0,malignant neoplasm of nasal cavity,438367,Primary malignant neoplasm of nasal cavity,SNOMED,Condition,S,
icd7_1601,icd8_1601,icd9_1601,icd10_C301,c30.1,malignant neoplasm of middle ear,4247336,Primary malignant neoplasm of middle ear,SNOMED,Condition,S,
,,,icd10_C31,c31,malignant neoplasm of accessory sinuses ,259748,Primary malignant neoplasm of accessory sinus,SNOMED,Condition,S,
icd7_1602,icd8_1602,icd9_1602,icd10_C310,c31.0,malignant neoplasm of maxillary sinus,137800,Primary malignant neoplasm of maxillary sinus,SNOMED,Condition,S,
,,icd9_1603,icd10_C311,c31.1,malignant neoplasm of ethmoidal sinus,140046,Primary malignant neoplasm of ethmoidal sinus,SNOMED,Condition,S,
icd7_1607,icd8_1608,icd9_1604,icd10_C312,c31.2,malignant neoplasm of frontal sinus,132258,Primary malignant neoplasm of frontal sinus,SNOMED,Condition,S,
,,icd9_1605,icd10_C313,c31.3,malignant neoplasm of sphenoid sinus,136639,Primary malignant neoplasm of sphenoidal sinus,SNOMED,Condition,S,
icd7_1608,,,icd10_C318,c31.8,malignant neoplasm of overlapping sites of accessory sinuses,259748,Primary malignant neoplasm of accessory sinus,SNOMED,Condition,S,
icd7_1609,icd8_1609,icd9_1609,icd10_C319,c31.9,malignant neoplasm of accessory sinus, unspecified,4054513,Neoplasm of accessory sinus,SNOMED,Condition,S,
icd7_161,icd8_161,icd9_161,icd10_C32,c32,malignant neoplasm of larynx,26052,Primary malignant neoplasm of larynx,SNOMED,Condition,S,
,icd8_1610,icd9_1610,icd10_C320,c32.0,malignant neoplasm of glottis,260336,Primary malignant neoplasm of glottis,SNOMED,Condition,S,
,,icd9_1611,icd10_C321,c32.1,malignant neoplasm of supraglottis,261514,Primary malignant neoplasm of supraglottis,SNOMED,Condition,S,
,,icd9_1612,icd10_C322,c32.2,malignant neoplasm of subglottis,259755,Primary malignant neoplasm of subglottis,SNOMED,Condition,S,
,,icd9_1613,icd10_C323,c32.3,malignant neoplasm of laryngeal cartilage,436352,Primary malignant neoplasm of laryngeal cartilage,SNOMED,Condition,S,
,,,icd10_C328,c32.8,malignant neoplasm of overlapping sites of larynx,22839,Overlapping malignant neoplasm of larynx,SNOMED,Condition,S,
,icd8_1619,icd9_1619,icd10_C329,c32.9,malignant neoplasm of larynx, unspecified,26052,Primary malignant neoplasm of larynx,SNOMED,Condition,S,
icd7_1620,icd8_1620,icd9_1620,icd10_C33,c33,malignant neoplasm of trachea,432262,Primary malignant neoplasm of trachea,SNOMED,Condition,S,
icd7_162,icd8_162,icd9_162,icd10_C34,c34,malignant neoplasm of bronchus and lung ,4311499,Primary malignant neoplasm of respiratory tract,SNOMED,Condition,S,
,,icd9_1622,icd10_C340,c34.0,malignant neoplasm of main bronchus,257503,Primary malignant neoplasm of main bronchus,SNOMED,Condition,S,
